Matrice de transition pour le 2021-03-01
                             Anderlecht  Auderghem  Berchem-Sainte-Agathe  Bruxelles  Etterbeek  Evere  Forest (Bruxelles-Capitale)  Ganshoren  Ixelles  Jette  Koekelberg  Molenbeek-Saint-Jean  Saint-Gilles  Saint-Josse-ten-Noode  Schaerbeek  Uccle  Watermael-Boitsfort  Woluwe-Saint-Lambert  Woluwe-Saint-Pierre
Etterbeek                      0.000000        0.0               0.000000   0.000000   1.083333  0.000000                     0.000000        0.0  0.000000  0.0000    0.000000              0.000000      0.000000               0.000000    0.000000    0.0                  0.0                   0.0             0.000000
Evere                          0.000000        0.0               0.000000   0.000000   0.000000  1.090909                     0.000000        0.0  0.000000  0.0000    0.000000              0.000000      0.000000               0.000000    0.000000    0.0                  0.0                   0.0             0.000000
Forest (Bruxelles-Capitale)    0.000000        0.0               0.000000   0.000000   0.000000  0.000000                     1.214286        0.0  0.000000  0.0000    0.000000              0.000000      0.000000               0.000000    0.000000    0.0                  0.0                   0.0             0.000000
Ganshoren                      0.000000        0.0               0.000000   0.000000   0.000000  0.000000                     0.000000        4.0  0.000000  0.0000    0.000000              0.000000      0.000000               0.000000    0.000000    0.0                  0.0                   0.0             0.000000
Ixelles                        0.000000        0.0               0.000000   0.000000   0.000000  0.000000                     0.000000        0.0  0.863636  0.0000    0.000000              0.000000      0.000000               0.000000    0.000000    0.0                  0.0                   0.0             0.000000
Jette                          0.000000        0.0               0.000000   0.000000   0.000000  0.000000                     0.000000        0.0  0.000000  1.1875    0.000000              0.000000      0.000000               0.000000    0.000000    0.0                  0.0                   0.0             0.000000
Koekelberg                     0.000000        0.0               0.000000   0.000000   0.000000  0.000000                     0.000000        0.0  0.000000  0.0000    0.222222              0.000000      0.000000               0.000000    0.000000    0.0                  0.0                   0.0             0.000000
Molenbeek-Saint-Jean           0.000000        0.0               0.000000   0.000000   0.000000  0.000000                     0.000000        0.0  0.000000  0.0000    0.000000              1.111111      0.000000               0.000000    0.000000    0.0                  0.0                   0.0             0.000000
Saint-Gilles                   0.000000        0.0               0.000000   0.000000   0.000000  0.000000                     0.000000        0.0  0.000000  0.0000    0.000000              0.000000      0.653846               0.000000    0.000000    0.0                  0.0                   0.0             0.000000
Saint-Josse-ten-Noode          0.000000        0.0               0.000000   0.000000   0.000000  0.000000                     0.000000        0.0  0.000000  0.0000    0.000000              0.000000      0.000000               1.111111    0.000000    0.0                  0.0                   0.0             0.000000
Schaerbeek                     0.000000        0.0               0.000000   0.000000   0.000000  0.000000                     0.000000        0.0  0.000000  0.0000    0.000000              0.000000      0.000000               0.000000    1.088889    0.0                  0.0                   0.0             0.000000
Uccle                          0.000000        0.0               0.000000   0.000000   0.000000  0.000000                     0.000000        0.0  0.000000  0.0000    0.000000              0.000000      0.000000               0.000000    0.000000    1.2                  0.0                   0.0             0.000000
Watermael-Boitsfort            0.000000        0.0               0.000000   0.000000   0.000000  0.000000                     0.000000        0.0  0.000000  0.0000    0.000000              0.000000      0.000000               0.000000    0.000000    0.0                  1.0                   0.0             0.000000
Woluwe-Saint-Lambert           0.000000        0.0               0.000000   0.000000   0.000000  0.000000                     0.000000        0.0  0.000000  0.0000    0.000000              0.000000      0.000000               0.000000    0.000000    0.0                  0.0                   0.9             0.000000
Woluwe-Saint-Pierre            0.000000        0.0               0.000000   0.000000   0.000000  0.000000                     0.000000        0.0  0.000000  0.0000    0.000000              0.000000      0.000000               0.000000    0.000000    0.0                  0.0                   0.0             0.461538

Matrice de transition pour le 2021-03-05
                             Anderlecht  Auderghem  Berchem-Sainte-Agathe  Bruxelles  Etterbeek  Evere  Forest (Bruxelles-Capitale)  Ganshoren   Ixelles     Jette  Koekelberg  Molenbeek-Saint-Jean  Saint-Gilles  Saint-Josse-ten-Noode  Schaerbeek     Uccle  Watermael-Boitsfort  Woluwe-Saint-Lambert  Woluwe-Saint-Pierre
Anderlecht                     1.607143        0.0                    0.0   0.000000   0.000000    0.0                     0.000000        0.0  0.000000  0.000000         0.0                   0.0      0.000000                    0.0    0.000000  0.000000                  0.0              0.000000             0.000000
Auderghem                      0.000000        1.4                    0.0   0.000000   0.000000    0.0                     0.000000        0.0  0.000000  0.000000         0.0                   0.0      0.000000                    0.0    0.000000  0.000000                  0.0              0.000000             0.000000
Berchem-Sainte-Agathe          0.000000        0.0                    1.0   0.000000   0.000000    0.0                     0.000000        0.0  0.000000  0.000000         0.0                   0.0      0.000000                    0.0    0.000000  0.000000                  0.0              0.000000             0.000000
Bruxelles                      0.000000        0.0                    0.0   1.192308   0.000000    0.0                     0.000000        0.0  0.000000  0.000000         0.0                   0.0      0.000000                    0.0    0.000000  0.000000                  0.0              0.000000             0.000000
Etterbeek                      0.000000        0.0                    0.0   0.000000   0.769231    0.0                     0.000000        0.0  0.000000  0.000000         0.0                   0.0      0.000000                    0.0    0.000000  0.000000                  0.0              0.000000             0.000000
Evere                          0.000000        0.0                    0.0   0.000000   0.000000    1.5                     0.000000        0.0  0.000000  0.000000         0.0                   0.0      0.000000                    0.0    0.000000  0.000000                  0.0              0.000000             0.000000
Forest (Bruxelles-Capitale)    0.000000        0.0                    0.0   0.000000   0.000000    0.0                     0.647059        0.0  0.000000  0.000000         0.0                   0.0      0.000000                    0.0    0.000000  0.000000                  0.0              0.000000             0.000000
Ganshoren                      0.000000        0.0                    0.0   0.000000   0.000000    0.0                     0.000000        1.0  0.000000  0.000000         0.0                   0.0      0.000000                    0.0    0.000000  0.000000                  0.0              0.000000             0.000000
Ixelles                        0.000000        0.0                    0.0   0.000000   0.000000    0.0                     0.000000        0.0  1.052632  0.000000         0.0                   0.0      0.000000                    0.0    0.000000  0.000000                  0.0              0.000000             0.000000
Jette                          0.000000        0.0                    0.0   0.000000   0.000000    0.0                     0.000000        0.0  0.000000  0.684211         0.0                   0.0      0.000000                    0.0    0.000000  0.000000                  0.0              0.000000             0.000000
Koekelberg                     0.000000        0.0                    0.0   0.000000   0.000000    0.0                     0.000000        0.0  0.000000  0.000000         1.0                   0.0      0.000000                    0.0    0.000000  0.000000                  0.0              0.000000             0.000000
Molenbeek-Saint-Jean           0.000000        0.0                    0.0   0.000000   0.000000    0.0                     0.000000        0.0  0.000000  0.000000         0.0                   1.0      0.000000                    0.0    0.000000  0.000000                  0.0              0.000000             0.000000
Saint-Gilles                   0.000000        0.0                    0.0   0.000000   0.000000    0.0                     0.000000        0.0  0.000000  0.000000         0.0                   0.0      0.705882                    0.0    0.000000  0.000000                  0.0              0.000000             0.000000
Saint-Josse-ten-Noode          0.000000        0.0                    0.0   0.000000   0.000000    0.0                     0.000000        0.0  0.000000  0.000000         0.0                   0.0      0.000000                    1.3    0.000000  0.000000                  0.0              0.000000             0.000000
Schaerbeek                     0.000000        0.0                    0.0   0.000000   0.000000    0.0                     0.000000        0.0  0.000000  0.000000         0.0                   0.0      0.000000                    0.0    0.857143  0.000000                  0.0              0.000000             0.000000
Uccle                          0.000000        0.0                    0.0   0.000000   0.000000    0.0                     0.000000        0.0  0.000000  0.000000         0.0                   0.0      0.000000                    0.0    0.000000  0.833333                  0.0              0.000000             0.000000
Watermael-Boitsfort            0.000000        0.0                    0.0   0.000000   0.000000    0.0                     0.000000        0.0  0.000000  0.000000         0.0                   0.0      0.000000                    0.0    0.000000  0.000000                  1.0              0.000000             0.000000
Woluwe-Saint-Lambert           0.000000        0.0                    0.0   0.000000   0.000000    0.0                     0.000000        0.0  0.000000  0.000000         0.0                   0.0      0.000000                    0.0    0.000000  0.000000                  0.0              1.555556             0.000000
Woluwe-Saint-Pierre            0.000000        0.0                    0.0   0.000000   0.000000    0.0                     0.000000        0.0  0.000000  0.000000         0.0                   0.0      0.000000                    0.0    0.000000  0.000000                  0.0              0.000000             0.333333

Matrice de transition pour le 2021-03-06
                             Anderlecht  Auderghem  Berchem-Sainte-Agathe  Bruxelles  Etterbeek  Evere  Forest (Bruxelles-Capitale)  Ganshoren  Ixelles     Jette  Koekelberg  Molenbeek-Saint-Jean  Saint-Gilles  Saint-Josse-ten-Noode  Schaerbeek  Uccle  Watermael-Boitsfort  Woluwe-Saint-Lambert  Woluwe-Saint-Pierre
Anderlecht                     0.333333   0.000000                    0.0   0.000000        0.0    0.0                     0.000000      0.000      0.0  0.000000         0.0              0.000000          0.00               0.000000         0.0    0.0                  0.0                   0.0                  0.0
